"x"	"y"
"loc_1"	13.064	6.086
"loc_2"	12.116	7.015
"loc_3"	13.945	6.999
"loc_4"	12.987	7.011
"loc_5"	15.011	7.984
"loc_6"	12.05	8.018
"loc_7"	13.048	7.992
"loc_8"	13.917	7.99
"loc_9"	17.979	8.976
"loc_10"	12.087	9.011
"loc_11"	13.035	8.988
"loc_12"	18.96	8.988
"loc_13"	14.006	8.991
"loc_14"	16.959	8.987
"loc_15"	15.026	9.034
"loc_16"	15.891	9.021
"loc_17"	10.832	9.842
"loc_18"	20.017	9.935
"loc_19"	18.881	9.944
"loc_20"	13.989	9.976
"loc_21"	17.947	9.973
"loc_22"	13.05	9.981
"loc_23"	12.087	9.969
"loc_24"	17.083	9.985
"loc_25"	15.932	9.991
"loc_26"	15.023	9.995
"loc_27"	10.839	10.825
"loc_28"	21.901	10.865
"loc_29"	12.052	10.965
"loc_30"	17.961	10.952
"loc_31"	20.978	10.943
"loc_32"	20.022	10.956
"loc_33"	16.953	10.961
"loc_34"	14.99	10.969
"loc_35"	15.938	10.973
"loc_36"	13.023	10.971
"loc_37"	13.944	10.971
"loc_38"	18.963	10.983
"loc_39"	10.771	11.828
"loc_40"	21.919	11.831
"loc_41"	9.93	11.897
"loc_42"	12.076	11.946
"loc_43"	20.057	11.907
"loc_44"	14.007	11.929
"loc_45"	18.016	11.914
"loc_46"	20.924	11.93
"loc_47"	15.013	11.946
"loc_48"	12.947	11.944
"loc_49"	18.977	11.94
"loc_50"	16.92	11.959
"loc_51"	15.985	11.959
"loc_52"	23.173	11.994
"loc_53"	10.825	12.819
"loc_54"	21.948	12.829
"loc_55"	9.84	12.905
"loc_56"	17.95	12.914
"loc_57"	12.033	12.953
"loc_58"	17.003	12.93
"loc_59"	20.968	12.923
"loc_60"	13.989	12.929
"loc_61"	13.056	12.951
"loc_62"	15.967	12.94
"loc_63"	14.95	12.947
"loc_64"	18.958	12.952
"loc_65"	20.058	12.958
"loc_66"	23.163	12.991
"loc_67"	24.047	12.98
"loc_68"	10.856	13.816
"loc_69"	21.936	13.836
"loc_70"	20.019	13.927
"loc_71"	24.048	13.918
"loc_72"	9.869	13.925
"loc_73"	23.186	13.954
"loc_74"	12.079	13.975
"loc_75"	21.002	13.957
"loc_76"	14.056	13.983
"loc_77"	18.986	13.956
"loc_78"	12.977	13.984
"loc_79"	15.988	13.991
"loc_80"	17.946	13.987
"loc_81"	8.961	13.999
"loc_82"	14.933	14.014
"loc_83"	16.968	14.018
"loc_84"	10.804	14.812
"loc_85"	21.929	14.815
"loc_86"	9.9	14.901
"loc_87"	13.974	14.92
"loc_88"	12.073	14.943
"loc_89"	8.986	14.924
"loc_90"	19.037	14.939
"loc_91"	13.009	14.939
"loc_92"	20.026	14.939
"loc_93"	20.962	14.937
"loc_94"	15.032	14.954
"loc_95"	17.898	14.961
"loc_96"	23.147	14.989
"loc_97"	24.065	14.96
"loc_98"	25.088	14.97
"loc_99"	16.981	14.977
"loc_100"	15.961	15.002
"loc_101"	10.813	15.813
"loc_102"	21.933	15.832
"loc_103"	9.024	15.892
"loc_104"	9.859	15.891
"loc_105"	17.026	15.904
"loc_106"	20.94	15.903
"loc_107"	20.058	15.905
"loc_108"	18.986	15.922
"loc_109"	24.065	15.914
"loc_110"	12.087	15.936
"loc_111"	17.904	15.93
"loc_112"	23.151	15.957
"loc_113"	7.838	15.948
"loc_114"	13.009	15.928
"loc_115"	13.963	15.931
"loc_116"	25.125	15.947
"loc_117"	15.886	15.933
"loc_118"	15.028	15.945
"loc_119"	10.805	16.797
"loc_120"	21.916	16.862
"loc_121"	9.916	16.903
"loc_122"	17.026	16.937
"loc_123"	20.067	16.937
"loc_124"	8.904	16.944
"loc_125"	12.064	16.97
"loc_126"	20.928	16.945
"loc_127"	7.875	16.968
"loc_128"	13.056	16.97
"loc_129"	15.029	16.966
"loc_130"	13.932	16.983
"loc_131"	18.987	16.982
"loc_132"	17.903	16.988
"loc_133"	24.03	16.982
"loc_134"	15.932	16.991
"loc_135"	23.182	17.022
"loc_136"	25.162	17.003
"loc_137"	21.952	17.765
"loc_138"	10.814	17.814
"loc_139"	20.889	17.845
"loc_140"	17.058	17.888
"loc_141"	20.066	17.875
"loc_142"	12.052	17.924
"loc_143"	17.852	17.906
"loc_144"	12.996	17.933
"loc_145"	8.994	17.924
"loc_146"	14.012	17.927
"loc_147"	7.872	17.927
"loc_148"	15.975	17.934
"loc_149"	14.942	17.937
"loc_150"	24.165	17.942
"loc_151"	9.881	17.95
"loc_152"	18.913	17.944
"loc_153"	23.167	17.96
"loc_154"	25.187	17.953
"loc_155"	10.827	18.871
"loc_156"	22.001	18.878
"loc_157"	16.915	18.905
"loc_158"	16.01	18.899
"loc_159"	12.063	18.937
"loc_160"	20.003	18.905
"loc_161"	20.888	18.913
"loc_162"	17.992	18.906
"loc_163"	13.925	18.921
"loc_164"	15.001	18.914
"loc_165"	9.836	18.924
"loc_166"	18.934	18.939
