"loc"	"raw_name"	"x_pos"	"y_pos"
"loc_1"	"17.907x4.967"	"17.907"	"4.967"
"loc_2"	"18.965x5.003"	"18.965"	"5.003"
"loc_3"	"18.954x5.995"	"18.954"	"5.995"
"loc_4"	"17.846x5.993"	"17.846"	"5.993"
"loc_5"	"20.016x6.019"	"20.016"	"6.019"
"loc_6"	"20.889x6.956"	"20.889"	"6.956"
"loc_7"	"20.062x6.974"	"20.062"	"6.974"
"loc_8"	"16.98x6.989"	"16.98"	"6.989"
"loc_9"	"17.918x6.991"	"17.918"	"6.991"
"loc_10"	"18.877x6.984"	"18.877"	"6.984"
"loc_11"	"21.847x7.896"	"21.847"	"7.896"
"loc_12"	"20.901x7.965"	"20.901"	"7.965"
"loc_13"	"23.118x7.985"	"23.118"	"7.985"
"loc_14"	"19.974x7.988"	"19.974"	"7.988"
"loc_15"	"17.904x8.003"	"17.904"	"8.003"
"loc_16"	"18.948x8.031"	"18.948"	"8.031"
"loc_17"	"16.753x8.02"	"16.753"	"8.02"
"loc_18"	"21.849x8.887"	"21.849"	"8.887"
"loc_19"	"20.936x8.944"	"20.936"	"8.944"
"loc_20"	"17.928x8.984"	"17.928"	"8.984"
"loc_21"	"23.097x9.011"	"23.097"	"9.011"
"loc_22"	"24.076x8.991"	"24.076"	"8.991"
"loc_23"	"18.939x9.0"	"18.939"	"9.0"
"loc_24"	"19.925x8.992"	"19.925"	"8.992"
"loc_25"	"14.901x9.04"	"14.901"	"9.04"
"loc_26"	"15.971x9.014"	"15.971"	"9.014"
"loc_27"	"16.783x9.018"	"16.783"	"9.018"
"loc_28"	"21.892x9.87"	"21.892"	"9.87"
"loc_29"	"20.806x9.928"	"20.806"	"9.928"
"loc_30"	"24.931x9.981"	"24.931"	"9.981"
"loc_31"	"23.152x10.0"	"23.152"	"10.0"
"loc_32"	"17.922x9.987"	"17.922"	"9.987"
"loc_33"	"20.05x9.97"	"20.05"	"9.97"
"loc_34"	"13.961x10.011"	"13.961"	"10.011"
