"raw_name"	"x_pos"	"y_pos"	"loc"
"loc_1"	50	102	"loc_1"
"loc_2"	3	43	"loc_2"
"loc_3"	59	19	"loc_3"
"loc_4"	14	94	"loc_4"
"loc_5"	47	13	"loc_5"
"loc_6"	61	97	"loc_6"
"loc_7"	45	115	"loc_7"
"loc_8"	42	28	"loc_8"
"loc_9"	52	42	"loc_9"
"loc_10"	65	83	"loc_10"
"loc_11"	37	19	"loc_11"
"loc_12"	6	64	"loc_12"
"loc_13"	35	79	"loc_13"
"loc_14"	65	91	"loc_14"
"loc_15"	67	59	"loc_15"
"loc_16"	66	70	"loc_16"
"loc_17"	23	113	"loc_17"
"loc_18"	45	67	"loc_18"
"loc_19"	64	12	"loc_19"
"loc_20"	45	19	"loc_20"
"loc_21"	0	92	"loc_21"
"loc_22"	10	48	"loc_22"
"loc_23"	29	15	"loc_23"
"loc_24"	66	22	"loc_24"
"loc_25"	62	54	"loc_25"
"loc_26"	55	55	"loc_26"
"loc_27"	24	62	"loc_27"
"loc_28"	24	26	"loc_28"
"loc_29"	10	106	"loc_29"
"loc_30"	51	27	"loc_30"
"loc_31"	10	52	"loc_31"
"loc_32"	37	15	"loc_32"
"loc_33"	44	94	"loc_33"
"loc_34"	42	96	"loc_34"
"loc_35"	14	88	"loc_35"
"loc_36"	31	115	"loc_36"
"loc_37"	47	69	"loc_37"
"loc_38"	36	106	"loc_38"
"loc_39"	53	79	"loc_39"
"loc_40"	65	87	"loc_40"
"loc_41"	44	56	"loc_41"
"loc_42"	53	101	"loc_42"
"loc_43"	21	111	"loc_43"
"loc_44"	16	24	"loc_44"
"loc_45"	13	69	"loc_45"
"loc_46"	49	17	"loc_46"
"loc_47"	33	51	"loc_47"
"loc_48"	34	58	"loc_48"
"loc_49"	14	86	"loc_49"
"loc_50"	26	94	"loc_50"
"loc_51"	35	115	"loc_51"
"loc_52"	55	31	"loc_52"
"loc_53"	5	19	"loc_53"
"loc_54"	6	90	"loc_54"
"loc_55"	47	33	"loc_55"
"loc_56"	28	42	"loc_56"
"loc_57"	61	37	"loc_57"
"loc_58"	29	25	"loc_58"
"loc_59"	51	93	"loc_59"
"loc_60"	9	65	"loc_60"
"loc_61"	45	21	"loc_61"
"loc_62"	6	34	"loc_62"
"loc_63"	59	31	"loc_63"
"loc_64"	15	67	"loc_64"
"loc_65"	29	31	"loc_65"
"loc_66"	49	113	"loc_66"
"loc_67"	27	99	"loc_67"
"loc_68"	17	113	"loc_68"
"loc_69"	67	23	"loc_69"
"loc_70"	64	52	"loc_70"
"loc_71"	36	24	"loc_71"
"loc_72"	6	92	"loc_72"
"loc_73"	65	11	"loc_73"
"loc_74"	14	30	"loc_74"
"loc_75"	15	39	"loc_75"
"loc_76"	56	14	"loc_76"
"loc_77"	67	43	"loc_77"
"loc_78"	57	113	"loc_78"
"loc_79"	40	96	"loc_79"
"loc_80"	8	70	"loc_80"
"loc_81"	24	70	"loc_81"
"loc_82"	46	92	"loc_82"
"loc_83"	12	64	"loc_83"
"loc_84"	0	80	"loc_84"
"loc_85"	62	82	"loc_85"
"loc_86"	36	118	"loc_86"
"loc_87"	54	68	"loc_87"
"loc_88"	16	92	"loc_88"
"loc_89"	53	73	"loc_89"
"loc_90"	15	53	"loc_90"
"loc_91"	24	76	"loc_91"
"loc_92"	20	104	"loc_92"
